Warehouse,Product,Supplier,Stock_Level,Reorder_Level,Transport_Cost,Last_Updated
WH-D,Mouse,Supplier-Z,,122,1614.66,2025-04-30
WH-B,CPU,Supplier-Y,459.0,70,1938.55,2025-04-27
WH-A,Mouse,Supplier-A,89.0,103,887.7,2026-05-18
WH-A,Printer,Supplier-Y,207.0,40,1433.74,2025-01-13
WH-D,Camera,Supplier-Z,154.0,120,1583.82,2026-06-11
WH-B,Camera,Supplier-A,,167,1792.68,2025-11-07
WH-C,Speaker,Supplier-Z,354.0,46,1573.21,2024-11-11
WH-E,CPU,Supplier-Z,56.0,63,1241.52,2026-02-16
WH-E,Printer,Supplier-Z,281.0,42,1676.38,2024-11-25
WH-A,Speaker,Supplier-X,,53,1562.97,2026-01-16
WH-D,Printer,Supplier-B,393.0,128,1820.69,2026-04-04
WH-D,Printer,Supplier-A,172.0,195,1513.48,2024-12-01
WH-D,Tablet,Supplier-X,120.0,179,1432.62,2026-01-31
WH-D,Mobile,Supplier-A,245.0,107,1643.58,2024-09-10
WH-B,Mouse,Supplier-Z,275.0,115,1492.56,2024-08-19
WH-B,Laptop,Supplier-B,204.0,33,1712.98,2026-02-25
WH-C,Camera,Supplier-B,220.0,68,1694.96,2025-10-31
WH-B,Monitor,Supplier-A,223.0,70,1444.78,2025-09-19
WH-D,Mouse,Supplier-Y,,166,1149.24,2025-03-14
WH-A,Keyboard,Supplier-A,274.0,63,1350.97,2024-11-12
WH-D,Monitor,Supplier-A,271.0,40,1565.35,2024-08-01
WH-A,Laptop,Supplier-Y,489.0,23,2158.78,2025-10-28
WH-B,Laptop,Supplier-X,409.0,76,2068.47,2024-12-17
WH-E,Mouse,Supplier-B,,195,1708.43,2026-03-02
WH-D,Keyboard,Supplier-B,31.0,10,977.55,2024-12-08
WH-A,CPU,Supplier-Y,140.0,189,1296.3,2024-12-04
WH-B,Printer,Supplier-B,252.0,144,1646.52,2024-09-06
WH-D,Laptop,Supplier-A,171.0,100,1559.86,2026-02-21
WH-D,Camera,Supplier-X,,106,1741.24,2025-05-13
WH-D,Camera,Supplier-Y,62.0,175,1339.64,2024-12-04
WH-C,Laptop,Supplier-A,236.0,26,1651.33,2025-10-28
WH-C,Tablet,Supplier-Y,260.0,125,1633.88,2024-08-11
WH-A,Mobile,Supplier-B,193.0,117,1562.52,2024-11-18
WH-A,Tablet,Supplier-X,333.0,10,1653.1,2026-04-11
WH-B,Laptop,Supplier-Y,42.0,160,1487.03,2024-12-06
WH-B,Mobile,Supplier-X,,19,1791.59,2024-07-03
WH-E,Camera,Supplier-B,298.0,83,1716.23,2025-11-12
WH-E,Monitor,Supplier-Y,279.0,127,1554.42,2025-05-18
WH-D,Mobile,Supplier-X,265.0,119,1746.2,2024-07-30
WH-C,CPU,Supplier-A,141.0,18,1272.17,2026-05-15
WH-E,Laptop,Supplier-X,,69,1351.63,2025-06-13
WH-C,Laptop,Supplier-Z,,108,2203.74,2026-03-31
WH-A,Tablet,Supplier-B,171.0,182,1332.58,2025-11-07
WH-B,Keyboard,Supplier-X,162.0,72,1205.08,2024-12-26
WH-A,Speaker,Supplier-Y,,116,1370.53,2026-02-22
WH-D,Camera,Supplier-Y,1.0,130,1284.81,2025-08-23
WH-A,Printer,Supplier-X,175.0,59,1289.31,2025-10-21
WH-E,Printer,Supplier-Z,240.0,122,1514.04,2025-12-20
WH-D,CPU,Supplier-X,413.0,179,1870.27,2026-01-08
WH-D,Keyboard,Supplier-Z,272.0,84,1527.36,2025-03-23
WH-C,Monitor,Supplier-B,490.0,46,1872.71,2025-12-12
WH-E,Tablet,Supplier-A,316.0,96,1709.0,2026-03-05
WH-C,Camera,Supplier-Y,375.0,135,1878.49,2025-02-07
WH-E,Camera,Supplier-Z,275.0,101,1740.36,2024-11-24
WH-E,Speaker,Supplier-Z,380.0,15,1633.65,2025-12-14
WH-B,Speaker,Supplier-X,,100,1233.64,2024-07-17
WH-D,Mouse,Supplier-A,280.0,48,1376.32,2024-12-18
WH-E,Tablet,Supplier-Z,406.0,101,1855.91,2025-11-12
WH-E,Mouse,Supplier-X,492.0,139,1818.84,2025-09-24
WH-C,Speaker,Supplier-A,8.0,41,876.16,2025-08-28
WH-D,Camera,Supplier-A,,130,2009.21,2025-05-24
WH-D,Monitor,Supplier-A,,186,1759.5,2025-02-20
WH-D,Tablet,Supplier-Z,323.0,147,1835.78,2024-08-07
WH-B,Laptop,Supplier-X,177.0,161,1607.55,2024-10-19
WH-D,Camera,Supplier-B,,119,1962.91,2025-04-14
WH-A,Speaker,Supplier-B,266.0,187,1376.68,2025-06-03
WH-E,Keyboard,Supplier-Z,327.0,159,1477.07,2025-12-26
WH-E,Mobile,Supplier-X,54.0,128,1243.41,2026-01-12
WH-A,Mobile,Supplier-X,175.0,159,1401.25,2025-02-22
WH-E,Keyboard,Supplier-Z,,141,1435.3,2026-03-12
WH-B,Laptop,Supplier-A,198.0,32,1570.64,2026-02-15
WH-E,Keyboard,Supplier-A,318.0,145,1485.74,2024-08-25
WH-C,Mobile,Supplier-Y,145.0,55,1523.25,2025-10-06
WH-C,CPU,Supplier-B,155.0,181,1336.55,2024-08-14
WH-D,Tablet,Supplier-B,139.0,47,1519.03,2024-09-09
WH-C,Tablet,Supplier-Y,246.0,170,1588.36,2026-02-12
WH-C,Keyboard,Supplier-Z,,184,1438.14,2025-09-03
WH-C,Printer,Supplier-A,131.0,138,1331.78,2025-10-15
WH-E,Keyboard,Supplier-A,160.0,141,1126.6,2025-10-23
WH-D,Laptop,Supplier-B,47.0,159,1426.82,2025-09-01
WH-A,Speaker,Supplier-X,416.0,196,1488.48,2025-03-22
WH-C,Laptop,Supplier-B,,199,1613.37,2024-12-22
WH-A,Laptop,Supplier-A,147.0,85,1416.78,2025-06-19
WH-A,Speaker,Supplier-Y,,67,1635.69,2025-12-03
WH-A,Speaker,Supplier-Y,312.0,53,1379.27,2025-11-28
WH-E,Monitor,Supplier-Z,70.0,30,1156.92,2025-03-14
WH-E,CPU,Supplier-X,120.0,13,1355.36,2024-07-14
WH-B,Mobile,Supplier-X,235.0,97,1667.08,2025-09-11
WH-C,Laptop,Supplier-X,24.0,36,1292.8,2025-03-28
WH-C,Keyboard,Supplier-A,,29,1500.6,2024-10-29
WH-A,Monitor,Supplier-X,308.0,135,1508.27,2026-03-08
WH-B,Mobile,Supplier-A,361.0,45,1796.74,2024-08-03
WH-E,Monitor,Supplier-B,472.0,102,1990.76,2025-06-02
WH-B,CPU,Supplier-X,,10,1965.55,2025-03-20
WH-B,Camera,Supplier-B,142.0,151,1493.74,2025-12-26
WH-C,Mobile,Supplier-Y,59.0,93,1276.68,2025-02-16
WH-D,Printer,Supplier-X,,16,1442.82,2024-12-20
WH-C,Speaker,Supplier-A,458.0,37,1615.26,2024-10-02
WH-D,Keyboard,Supplier-A,,71,971.71,2026-02-03
WH-D,Mobile,Supplier-Y,256.0,50,1836.27,2026-04-13
WH-E,Camera,Supplier-Z,5.0,125,1224.07,2024-07-17
WH-A,Mobile,Supplier-B,303.0,114,1713.55,2024-10-18
WH-C,Keyboard,Supplier-Y,362.0,53,1479.07,2026-04-02
WH-B,Printer,Supplier-Y,,62,1481.84,2025-11-30
WH-C,Mouse,Supplier-A,341.0,163,1384.18,2024-12-13
WH-C,Printer,Supplier-Z,39.0,50,1137.0,2025-10-02
WH-D,Camera,Supplier-Y,39.0,154,1402.63,2025-04-06
WH-A,Tablet,Supplier-A,306.0,162,1549.25,2025-12-20
WH-E,Speaker,Supplier-X,120.0,196,1124.52,2026-04-26
WH-D,CPU,Supplier-A,236.0,127,1542.29,2025-05-07
WH-A,Printer,Supplier-X,7.0,24,1000.65,2025-04-06
WH-A,Laptop,Supplier-Z,,122,1581.82,2026-01-25
WH-B,Monitor,Supplier-Y,249.0,28,1499.36,2024-07-28
WH-E,CPU,Supplier-Z,366.0,98,1811.57,2026-03-05
WH-E,Mobile,Supplier-Y,407.0,146,1962.65,2025-06-08
WH-C,Mouse,Supplier-B,,44,1263.72,2025-01-14
WH-B,Tablet,Supplier-Z,313.0,75,1778.37,2024-12-22
WH-B,Laptop,Supplier-Y,336.0,81,1972.37,2025-08-08
WH-A,Speaker,Supplier-B,239.0,45,1206.73,2025-06-19
WH-A,Mouse,Supplier-B,124.0,158,1050.37,2024-08-31
WH-C,Monitor,Supplier-B,157.0,99,1289.47,2024-11-30
WH-C,Monitor,Supplier-B,117.0,163,1279.13,2025-07-01
WH-B,Tablet,Supplier-X,51.0,76,1203.64,2025-09-18
WH-C,Monitor,Supplier-A,404.0,40,1626.96,2026-06-03
WH-D,Printer,Supplier-A,,43,1595.02,2025-09-11
WH-A,Camera,Supplier-Y,51.0,178,1274.2,2025-11-28
WH-A,Printer,Supplier-B,52.0,189,1146.59,2025-05-20
WH-B,Speaker,Supplier-A,285.0,145,1377.78,2026-06-05
WH-A,Mobile,Supplier-B,469.0,73,2016.13,2024-08-27
WH-E,Tablet,Supplier-B,479.0,104,1944.12,2024-07-24
WH-C,Keyboard,Supplier-X,79.0,27,968.9,2025-04-30
WH-B,Monitor,Supplier-Y,152.0,112,1293.05,2025-12-28
WH-D,Tablet,Supplier-A,,55,1755.01,2024-12-20
WH-C,CPU,Supplier-X,485.0,132,1905.37,2024-07-13
WH-B,Mobile,Supplier-Y,300.0,194,1726.98,2024-11-20
WH-A,Keyboard,Supplier-Y,222.0,188,1190.37,2025-08-08
WH-D,Monitor,Supplier-B,64.0,84,1305.51,2025-06-15
WH-C,Laptop,Supplier-Y,104.0,11,1438.36,2026-03-10
WH-C,Mobile,Supplier-X,354.0,67,1828.98,2025-06-25
WH-E,Mouse,Supplier-A,,102,901.71,2025-11-13
WH-E,CPU,Supplier-Z,,167,1465.49,2024-12-02
WH-B,Keyboard,Supplier-A,352.0,126,1575.68,2025-01-07
WH-C,Tablet,Supplier-A,395.0,52,1677.42,2026-01-29
WH-E,Mobile,Supplier-Z,315.0,144,1762.16,2024-10-10
WH-B,Laptop,Supplier-X,254.0,116,1786.05,2025-08-20
WH-E,Keyboard,Supplier-A,,160,842.05,2024-10-01
WH-E,Keyboard,Supplier-Y,249.0,130,1351.76,2025-02-14
WH-E,CPU,Supplier-X,246.0,57,1467.6,2025-09-12
WH-D,Tablet,Supplier-A,163.0,132,1487.73,2025-12-05
WH-C,Printer,Supplier-Y,353.0,112,1707.62,2026-06-05
WH-B,CPU,Supplier-Z,318.0,62,1770.79,2024-12-10
WH-B,Camera,Supplier-Y,52.0,48,1386.32,2025-04-26
WH-A,Laptop,Supplier-Y,6.0,94,1257.68,2025-05-31
WH-A,Speaker,Supplier-Z,88.0,123,1017.81,2026-06-22
WH-E,Monitor,Supplier-B,85.0,148,1193.62,2024-10-12
WH-D,Printer,Supplier-Z,270.0,127,1674.37,2026-02-12
WH-E,Mobile,Supplier-A,376.0,117,1861.52,2025-08-17
WH-C,CPU,Supplier-Y,456.0,187,1859.75,2025-09-05
WH-A,Keyboard,Supplier-Z,91.0,57,1018.29,2025-11-23
WH-A,Tablet,Supplier-X,72.0,81,1283.37,2025-10-19
WH-B,Monitor,Supplier-Y,241.0,85,1557.36,2025-11-14
WH-D,Mouse,Supplier-Z,19.0,173,987.9,2025-01-29
WH-B,Printer,Supplier-X,,30,1764.86,2025-12-29
WH-D,Printer,Supplier-Y,142.0,157,1415.2,2025-01-26
WH-A,Mouse,Supplier-B,446.0,154,1500.89,2026-01-14
WH-E,Laptop,Supplier-Y,,173,1468.8,2024-12-14
WH-D,Mouse,Supplier-Z,,105,1495.66,2026-04-07
WH-D,Speaker,Supplier-B,111.0,120,1192.22,2025-07-03
WH-C,Camera,Supplier-Z,64.0,177,1376.12,2025-10-10
WH-E,Tablet,Supplier-Y,,10,1669.02,2025-06-07
WH-E,Printer,Supplier-A,,183,1500.75,2024-11-03
WH-C,CPU,Supplier-Z,34.0,135,1140.24,2025-05-22
WH-A,Tablet,Supplier-A,456.0,102,1902.27,2026-06-26
WH-D,Mobile,Supplier-B,269.0,35,1663.64,2025-07-20
WH-D,Monitor,Supplier-X,,76,1277.38,2026-02-09
WH-B,Monitor,Supplier-B,90.0,12,1290.54,2025-10-18
WH-C,Printer,Supplier-A,,137,1579.87,2026-03-27
WH-D,Speaker,Supplier-Z,128.0,51,1317.59,2026-05-12
WH-C,Mouse,Supplier-Y,297.0,107,1391.52,2024-12-01
WH-B,Speaker,Supplier-B,,130,1027.44,2025-03-28
WH-A,Printer,Supplier-A,45.0,21,1102.64,2025-03-12
WH-D,CPU,Supplier-Z,110.0,198,1501.53,2025-10-15
WH-A,Camera,Supplier-Y,269.0,126,1673.29,2024-10-09
WH-B,CPU,Supplier-Y,471.0,110,1970.21,2026-06-14
WH-A,Printer,Supplier-X,,44,1711.43,2024-10-13
WH-E,CPU,Supplier-Z,96.0,49,1245.31,2026-06-12
WH-C,Laptop,Supplier-Z,436.0,163,2136.32,2026-03-01
WH-B,Keyboard,Supplier-B,225.0,37,1282.2,2026-02-08
WH-C,Laptop,Supplier-B,31.0,72,1349.38,2025-11-28
WH-C,Laptop,Supplier-X,275.0,30,1721.12,2025-08-02
WH-E,Monitor,Supplier-Y,,39,1635.15,2025-08-22
WH-E,Mobile,Supplier-Z,264.0,80,1726.88,2026-04-17
WH-D,Keyboard,Supplier-Y,405.0,190,1740.88,2024-08-14
WH-B,Monitor,Supplier-Y,90.0,129,1216.5,2024-12-03
WH-D,Speaker,Supplier-Y,454.0,117,1803.71,2026-01-08
WH-E,Keyboard,Supplier-B,442.0,40,1641.66,2025-09-02
WH-D,Keyboard,Supplier-B,402.0,144,1671.39,2024-08-17
WH-E,Camera,Supplier-A,,60,1293.27,2025-05-05
WH-E,Keyboard,Supplier-X,408.0,84,1627.25,2026-05-14
WH-D,Mouse,Supplier-X,321.0,31,1441.69,2025-08-30
WH-C,Mouse,Supplier-B,30.0,96,947.48,2025-10-10
WH-C,Mobile,Supplier-Y,,133,1685.18,2024-11-08
WH-B,CPU,Supplier-X,70.0,138,1226.67,2024-09-06
WH-C,Keyboard,Supplier-A,,168,1124.44,2026-03-25
WH-D,Mouse,Supplier-B,265.0,170,1388.31,2026-02-03
WH-B,Laptop,Supplier-B,391.0,109,1981.57,2025-06-01
WH-A,Camera,Supplier-B,47.0,109,1185.66,2025-03-24
WH-B,CPU,Supplier-Z,471.0,19,2062.6,2025-04-20
WH-A,Mouse,Supplier-X,54.0,31,889.92,2025-09-20
WH-E,CPU,Supplier-X,169.0,196,1356.42,2026-03-02
WH-B,Mobile,Supplier-Y,,124,1938.8,2026-05-15
WH-C,Mouse,Supplier-A,447.0,133,1548.33,2025-05-07
WH-D,Speaker,Supplier-Y,115.0,13,1329.29,2024-08-02
WH-E,CPU,Supplier-X,470.0,193,1907.46,2026-05-05
WH-E,Mouse,Supplier-Z,312.0,36,1462.07,2026-03-05
WH-B,Mouse,Supplier-Z,358.0,30,1600.69,2025-06-16
WH-A,Mobile,Supplier-A,433.0,146,1893.45,2024-07-01
WH-E,Camera,Supplier-Y,226.0,78,1672.99,2024-11-22
WH-D,Speaker,Supplier-Z,365.0,140,1647.48,2025-10-12
WH-A,Tablet,Supplier-Y,455.0,71,1922.57,2024-07-28
WH-E,CPU,Supplier-Z,410.0,161,1947.1,2026-05-14
WH-E,Monitor,Supplier-A,132.0,43,1319.87,2025-07-12
WH-B,Tablet,Supplier-X,479.0,190,2091.86,2025-11-23
WH-C,Keyboard,Supplier-Y,241.0,44,1268.24,2024-10-04
WH-A,Camera,Supplier-A,,191,1601.72,2024-07-09
WH-A,Printer,Supplier-X,,30,1369.91,2026-04-27
WH-E,Keyboard,Supplier-X,358.0,167,1502.19,2025-03-21
WH-D,Mouse,Supplier-Y,52.0,11,1088.31,2024-07-03
WH-A,CPU,Supplier-B,244.0,152,1374.58,2025-07-24
WH-D,Keyboard,Supplier-A,343.0,175,1613.88,2025-10-30
WH-E,Camera,Supplier-B,32.0,18,1314.7,2025-11-25
WH-A,CPU,Supplier-Z,,69,1236.46,2025-01-25
WH-D,Monitor,Supplier-X,354.0,143,1686.59,2025-02-12
WH-B,Camera,Supplier-A,,83,1756.66,2024-09-18
WH-C,CPU,Supplier-A,354.0,158,1698.36,2025-06-08
WH-D,CPU,Supplier-B,186.0,181,1508.47,2025-09-12
WH-D,Tablet,Supplier-Y,209.0,12,1541.7,2025-08-30
WH-B,Mobile,Supplier-Z,178.0,132,1515.65,2025-05-05
WH-D,Monitor,Supplier-Z,36.0,168,1208.01,2025-09-29
WH-A,CPU,Supplier-Y,368.0,140,1755.85,2026-05-08
WH-A,Camera,Supplier-Y,251.0,135,1618.82,2025-01-15
WH-B,CPU,Supplier-X,450.0,40,1814.84,2025-10-18
WH-B,Camera,Supplier-Z,,84,2100.51,2025-11-14
WH-D,Speaker,Supplier-X,49.0,17,1044.56,2025-01-25
WH-A,Mouse,Supplier-Y,229.0,182,1067.36,2026-04-18
WH-A,CPU,Supplier-Y,295.0,47,1538.29,2024-10-06
WH-D,Printer,Supplier-Y,347.0,109,1793.05,2026-05-22
WH-C,Speaker,Supplier-B,,123,1605.41,2026-01-13
WH-A,Monitor,Supplier-Y,,133,1837.45,2025-10-06
WH-D,Laptop,Supplier-B,,38,2051.13,2025-01-05
WH-E,Laptop,Supplier-B,118.0,50,1513.96,2025-05-29
WH-B,Mobile,Supplier-Y,373.0,137,1846.07,2024-07-17
WH-B,Monitor,Supplier-A,470.0,117,2014.67,2025-04-02
WH-B,Speaker,Supplier-Z,,127,1593.16,2025-08-25
WH-D,CPU,Supplier-A,108.0,172,1315.1,2025-04-12
WH-C,Mouse,Supplier-Z,462.0,172,1700.39,2025-11-27
WH-E,Camera,Supplier-X,323.0,117,1816.3,2026-03-18
WH-B,Mouse,Supplier-A,461.0,20,1672.58,2026-06-04
WH-B,Mouse,Supplier-A,1.0,101,823.12,2025-06-13
WH-B,Monitor,Supplier-B,286.0,106,1577.46,2025-03-13
WH-D,Laptop,Supplier-B,402.0,186,2111.96,2026-02-02
WH-A,Monitor,Supplier-B,368.0,59,1625.23,2025-09-07
WH-C,CPU,Supplier-X,442.0,82,1789.96,2026-01-31
WH-A,Printer,Supplier-Z,241.0,163,1499.12,2024-07-08
WH-D,Camera,Supplier-A,,121,1869.45,2024-09-16
WH-E,Tablet,Supplier-B,,176,1409.4,2025-07-11
WH-D,Laptop,Supplier-A,154.0,54,1484.65,2024-12-06
WH-A,Printer,Supplier-A,22.0,186,1084.18,2025-07-04
WH-B,Mobile,Supplier-A,,33,1578.1,2025-07-09
WH-D,Mouse,Supplier-Z,55.0,144,965.33,2024-09-25
WH-B,Monitor,Supplier-Z,,82,1623.87,2024-12-09
WH-C,Monitor,Supplier-X,71.0,160,1109.23,2024-09-02
WH-D,Printer,Supplier-Z,13.0,159,1163.02,2024-11-24
WH-D,Camera,Supplier-A,124.0,162,1474.31,2026-05-14
WH-C,Tablet,Supplier-Z,5.0,153,1113.47,2024-10-10
WH-C,Printer,Supplier-B,112.0,73,1379.21,2026-04-21
WH-A,Mouse,Supplier-Y,,181,1556.78,2024-12-28
WH-C,Speaker,Supplier-X,28.0,79,983.98,2025-05-26
WH-B,Tablet,Supplier-Z,46.0,153,1328.88,2024-10-07
WH-A,Speaker,Supplier-Z,,42,1545.35,2025-07-17
WH-A,Tablet,Supplier-B,147.0,160,1328.37,2025-07-28
WH-A,Monitor,Supplier-B,,144,1300.67,2025-07-27
WH-C,Printer,Supplier-X,58.0,196,1093.29,2025-06-14
WH-A,Camera,Supplier-A,53.0,182,1271.05,2024-12-28
WH-C,Laptop,Supplier-Z,90.0,56,1459.98,2024-11-23
WH-C,Mouse,Supplier-Z,100.0,179,1031.26,2025-05-15
WH-C,Camera,Supplier-A,336.0,68,1830.35,2025-08-24
WH-A,Mouse,Supplier-Y,249.0,197,1260.41,2025-01-10
WH-C,Speaker,Supplier-Z,440.0,130,1703.95,2025-11-25
WH-E,Mouse,Supplier-X,,103,1537.37,2025-02-26
WH-D,Keyboard,Supplier-Z,18.0,147,968.35,2025-04-07
WH-E,Tablet,Supplier-B,89.0,81,1356.0,2025-07-14
WH-D,Printer,Supplier-Y,326.0,31,1796.46,2025-10-30
WH-D,Mouse,Supplier-Z,67.0,170,1075.12,2025-01-25
WH-C,Mouse,Supplier-Y,82.0,193,1003.91,2025-09-04
WH-A,Speaker,Supplier-B,390.0,47,1499.44,2025-01-01
WH-B,Keyboard,Supplier-B,140.0,78,1218.2,2026-04-10
WH-C,Camera,Supplier-X,410.0,200,1928.75,2026-05-13
WH-E,Monitor,Supplier-Y,,141,1563.46,2024-11-18
WH-D,Tablet,Supplier-B,47.0,107,1377.05,2024-07-13
WH-B,Tablet,Supplier-Z,,51,1630.18,2025-03-06
WH-C,Camera,Supplier-B,473.0,125,2020.98,2024-08-05
WH-C,Camera,Supplier-X,,109,1143.77,2024-07-23
WH-E,Laptop,Supplier-A,217.0,100,1685.9,2025-02-10
WH-C,Printer,Supplier-Y,92.0,94,1181.58,2025-05-17
WH-A,Speaker,Supplier-B,3.0,176,953.14,2024-07-21
WH-D,Speaker,Supplier-Y,,30,1639.3,2025-12-15
WH-D,Monitor,Supplier-X,,193,1879.62,2025-11-08
WH-B,Camera,Supplier-X,,43,1795.15,2024-07-05
WH-C,Tablet,Supplier-X,273.0,133,1586.56,2026-01-04
WH-B,Tablet,Supplier-X,132.0,196,1360.35,2026-04-22
WH-C,Keyboard,Supplier-Y,285.0,53,1392.96,2025-04-23
WH-A,Camera,Supplier-X,405.0,42,1877.12,2025-09-29
WH-B,Keyboard,Supplier-X,108.0,20,1129.57,2026-06-08
WH-A,CPU,Supplier-A,,101,1072.91,2024-07-03
WH-D,Monitor,Supplier-Y,128.0,55,1367.92,2026-02-05
WH-B,Keyboard,Supplier-B,97.0,191,1076.42,2026-04-06
WH-A,CPU,Supplier-X,122.0,145,1196.75,2025-03-07
WH-B,CPU,Supplier-A,221.0,33,1483.19,2024-09-17
WH-E,Monitor,Supplier-Y,261.0,149,1439.29,2025-03-09
WH-D,Monitor,Supplier-A,434.0,197,1803.79,2025-01-13
WH-C,Camera,Supplier-X,387.0,197,1933.76,2025-04-18
WH-A,CPU,Supplier-Z,159.0,170,1334.74,2025-02-19
WH-C,CPU,Supplier-A,,178,1567.0,2024-08-30
WH-B,Tablet,Supplier-X,440.0,177,1942.92,2026-03-10
WH-C,Keyboard,Supplier-B,321.0,70,1465.18,2025-01-26
WH-D,CPU,Supplier-A,485.0,88,1966.01,2025-09-23
WH-C,Mouse,Supplier-A,329.0,174,1353.28,2025-04-14
WH-B,Keyboard,Supplier-A,165.0,76,1176.79,2024-10-27
WH-D,Camera,Supplier-A,386.0,82,1935.88,2025-05-10
WH-D,Keyboard,Supplier-B,124.0,147,1213.61,2025-05-07
WH-E,Tablet,Supplier-Y,17.0,86,1100.47,2024-08-13
WH-B,CPU,Supplier-X,262.0,33,1603.06,2024-10-15
WH-D,Laptop,Supplier-A,,110,1444.63,2026-02-21
WH-E,Monitor,Supplier-B,303.0,164,1623.2,2024-07-09
WH-E,Mouse,Supplier-A,143.0,73,1131.53,2024-10-11
WH-C,Monitor,Supplier-Y,252.0,174,1566.87,2025-10-05
WH-A,Camera,Supplier-B,123.0,120,1462.12,2025-11-04
WH-B,Mouse,Supplier-A,242.0,145,1193.56,2026-03-22
WH-C,Mobile,Supplier-B,144.0,43,1385.22,2026-06-21
WH-D,Monitor,Supplier-B,284.0,62,1619.96,2025-06-19
WH-D,Speaker,Supplier-X,419.0,177,1725.5,2025-10-31
WH-E,Tablet,Supplier-Y,207.0,53,1553.48,2024-11-23
WH-C,Camera,Supplier-X,461.0,115,1993.51,2025-09-30
WH-A,Keyboard,Supplier-X,59.0,133,895.54,2025-08-14
WH-A,Mobile,Supplier-Z,489.0,87,2002.43,2025-07-09
WH-E,Speaker,Supplier-B,215.0,155,1291.42,2026-01-25
WH-A,Camera,Supplier-A,173.0,158,1381.07,2025-05-21
WH-A,Laptop,Supplier-Y,131.0,62,1419.64,2025-01-16
WH-A,Keyboard,Supplier-B,438.0,73,1540.82,2026-02-24
WH-D,Mobile,Supplier-X,172.0,123,1510.81,2025-03-19
WH-D,Camera,Supplier-Z,227.0,147,1821.28,2024-11-26
WH-A,Printer,Supplier-A,168.0,54,1244.93,2025-02-07
WH-D,Laptop,Supplier-A,,179,2238.42,2025-09-07
WH-E,Keyboard,Supplier-A,229.0,178,1281.87,2024-07-10
WH-E,Mobile,Supplier-Y,32.0,113,1271.84,2024-11-18
WH-B,Keyboard,Supplier-X,33.0,127,896.48,2024-12-26
WH-B,Monitor,Supplier-X,2.0,25,1088.62,2024-11-13
WH-A,Tablet,Supplier-X,,180,1559.42,2025-06-01
WH-E,Camera,Supplier-Y,234.0,94,1682.3,2025-11-26
WH-E,Keyboard,Supplier-X,396.0,179,1695.8,2024-07-08
WH-B,Monitor,Supplier-A,193.0,99,1382.6,2026-04-10
WH-C,Mobile,Supplier-Y,335.0,50,1840.46,2024-07-22
WH-B,Mobile,Supplier-B,,134,1424.44,2024-11-13
WH-B,Speaker,Supplier-X,28.0,33,968.65,2025-03-20
WH-B,CPU,Supplier-B,,54,1854.74,2025-03-26
WH-C,CPU,Supplier-B,191.0,177,1382.45,2026-04-11
WH-E,CPU,Supplier-A,467.0,182,1976.22,2024-11-07
WH-D,Keyboard,Supplier-B,99.0,21,1183.59,2025-10-05
WH-C,Speaker,Supplier-A,154.0,24,1109.08,2026-01-06
WH-E,Mobile,Supplier-X,,166,2040.02,2025-09-07
WH-A,Speaker,Supplier-A,393.0,79,1566.03,2026-01-10
WH-C,CPU,Supplier-Y,171.0,192,1398.89,2026-04-22
WH-C,CPU,Supplier-X,309.0,64,1507.69,2026-03-01
WH-E,Camera,Supplier-X,68.0,48,1311.04,2024-10-17
WH-A,Printer,Supplier-A,462.0,44,1809.22,2025-06-28
WH-B,Camera,Supplier-B,444.0,95,2085.48,2026-05-22
WH-C,Speaker,Supplier-X,313.0,21,1464.43,2025-05-21
WH-B,Speaker,Supplier-Y,419.0,65,1713.09,2025-12-25
WH-B,Printer,Supplier-Z,492.0,166,1978.83,2026-05-18
WH-E,Keyboard,Supplier-Y,8.0,124,918.41,2025-02-22
WH-A,Mobile,Supplier-A,248.0,133,1566.93,2024-07-11
WH-D,CPU,Supplier-Z,,182,1273.79,2025-10-30
WH-A,CPU,Supplier-Y,120.0,64,1280.04,2025-09-11
WH-E,Speaker,Supplier-Y,291.0,48,1490.5,2026-05-09
WH-E,Laptop,Supplier-A,,153,2027.76,2025-11-20
WH-D,Keyboard,Supplier-X,23.0,95,967.89,2025-07-24
WH-D,Keyboard,Supplier-Z,21.0,131,944.75,2024-09-17
WH-B,CPU,Supplier-X,285.0,103,1614.48,2025-10-04
WH-E,Mouse,Supplier-A,407.0,112,1567.98,2026-05-24
WH-D,Tablet,Supplier-X,,92,1213.58,2024-08-13
WH-B,Keyboard,Supplier-Y,119.0,126,1060.36,2025-02-21
WH-C,CPU,Supplier-A,240.0,71,1397.95,2024-07-24
WH-D,Keyboard,Supplier-B,151.0,92,1294.46,2025-11-12
WH-A,Mouse,Supplier-A,244.0,143,1187.22,2025-10-31
WH-C,Monitor,Supplier-B,38.0,192,1142.48,2025-11-23
WH-D,Speaker,Supplier-X,407.0,119,1704.02,2025-05-02
WH-A,Keyboard,Supplier-X,294.0,164,1310.69,2025-04-14
WH-C,CPU,Supplier-Y,333.0,51,1706.31,2024-11-12
WH-C,CPU,Supplier-A,492.0,13,1879.8,2025-04-15
WH-C,CPU,Supplier-Y,99.0,186,1243.01,2024-07-21
WH-E,Printer,Supplier-Z,439.0,73,1902.09,2025-02-13
WH-A,Laptop,Supplier-X,257.0,41,1640.88,2025-08-10
WH-B,Tablet,Supplier-A,62.0,120,1236.14,2026-03-28
